"","Designated Qualified Opportunity Zones","","",""
"Massachusetts","Suffolk","25025160200","Low-Income Community","2011-2015"
"Massachusetts","Suffolk","25025160400","Low-Income Community","2011-2015"
"Massachusetts","Suffolk","25025170501","Low-Income Community","2011-2015"
"Massachusetts","Suffolk","25025170702","Low-Income Community","2011-2015"
"Massachusetts","Suffolk","25025180500","Low-Income Community","2011-2015"
"Massachusetts","Suffolk","25025980101","Low-Income Community","2011-2015"
"Massachusetts","Suffolk","25025980300","Low-Income Community","2011-2015"
"Massachusetts","Suffolk","25025981100","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027703100","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027703200","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027707200","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027707300","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027709400","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027709600","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027710600","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027710700","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027716200","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027716300","Low-Income Community","2012-2016"
"Massachusetts","Worcester","25027726200","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027730500","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027731300","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027731400","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027731700","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027732500","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027732801","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027754200","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027757100","Low-Income Community","2011-2015"
"Massachusetts","Worcester","25027757300","Low-Income Community","2011-2015"
"Michigan","Alcona","26001970400","Low-Income Community","2011-2015"
"Michigan","Alger","26003000100","Low-Income Community","2011-2015"
"Michigan","Allegan","26005032401","Low-Income Community","2011-2015"
"Michigan","Alpena","26007000400","Low-Income Community","2011-2015"
"Michigan","Antrim","26009960700","Low-Income Community","2011-2015"
"Michigan","Arenac","26011970500","Low-Income Community","2011-2015"
"Michigan","Baraga","26013000100","Low-Income Community","2011-2015"
"Michigan","Barry","26015011300","Low-Income Community","2011-2015"
"Michigan","Bay","26017286500","Low-Income Community","2011-2015"
"Michigan","Bay","26017286600","Low-Income Community","2011-2015"
"Michigan","Berrien","26021000400","Low-Income Community","2011-2015"
"Michigan","Berrien","26021002100","Low-Income Community","2011-2015"
"Michigan","Berrien","26021002500","Low-Income Community","2011-2015"
"Michigan","Berrien","26021010300","Low-Income Community","2011-2015"
"Michigan","Berrien","26021020500","Low-Income Community","2011-2015"
"Michigan","Branch","26023951600","Low-Income Community","2011-2015"
"Michigan","Calhoun","26025000200","Low-Income Community","2011-2015"
"Michigan","Calhoun","26025003400","Low-Income Community","2011-2015"
"Michigan","Calhoun","26025004000","Low-Income Community","2011-2015"
"Michigan","Calhoun","26025004100","Low-Income Community","2011-2015"
"Michigan","Cass","26027002100","Low-Income Community","2011-2015"
"Michigan","Charlevoix","26029001100","Low-Income Community","2011-2015"
"Michigan","Cheboygan","26031960200","Low-Income Community","2011-2015"
"Michigan","Chippewa","26033970200","Low-Income Community","2011-2015"
"Michigan","Chippewa","26033970500","Low-Income Community","2011-2015"
"Michigan","Clare","26035000600","Low-Income Community","2011-2015"
"Michigan","Clare","26035001300","Low-Income Community","2011-2015"
"Michigan","Clinton","26037010801","Low-Income Community","2011-2015"
"Michigan","Crawford","26039960200","Non-LIC Contiguous","2011-2015"
"Michigan","Delta","26041970800","Low-Income Community","2011-2015"
"Michigan","Dickinson","26043950400","Low-Income Community","2011-2015"
"Michigan","Eaton","26045020901","Low-Income Community","2011-2015"
"Michigan","Emmet","26047970100","Low-Income Community","2011-2015"
"Michigan","Genesee","26049000300","Low-Income Community","2011-2015"
"Michigan","Genesee","26049000500","Low-Income Community","2011-2015"
"Michigan","Genesee","26049001500","Low-Income Community","2011-2015"
"Michigan","Genesee","26049001600","Low-Income Community","2011-2015"
"Michigan","Genesee","26049001700","Low-Income Community","2011-2015"
"Michigan","Genesee","26049002200","Low-Income Community","2011-2015"
"Michigan","Genesee","26049002800","Low-Income Community","2011-2015"
"Michigan","Genesee","26049003700","Low-Income Community","2011-2015"
"Michigan","Genesee","26049010501","Low-Income Community","2011-2015"
"Michigan","Genesee","26049010502","Low-Income Community","2011-2015"
"Michigan","Genesee","26049010912","Low-Income Community","2011-2015"
"Michigan","Genesee","26049011210","Low-Income Community","2011-2015"
"Michigan","Genesee","26049011212","Low-Income Community","2011-2015"
"Michigan","Genesee","26049011508","Low-Income Community","2011-2015"
"Michigan","Genesee","26049012202","Low-Income Community","2011-2015"
"Michigan","Genesee","26049013600","Low-Income Community","2011-2015"
"Michigan","Gladwin","26051000700","Low-Income Community","2011-2015"
"Michigan","Gladwin","26051000800","Low-Income Community","2011-2015"
"Michigan","Gogebic","26053950600","Low-Income Community","2011-2015"
"Michigan","Grand Traverse","26055551300","Low-Income Community","2011-2015"
"Michigan","Gratiot","26057000500","Low-Income Community","2011-2015"
"Michigan","Hillsdale","26059050700","Low-Income Community","2011-2015"
"Michigan","Hillsdale","26059050800","Low-Income Community","2011-2015"
"Michigan","Houghton","26061000800","Low-Income Community","2011-2015"
"Michigan","Huron","26063951000","Low-Income Community","2011-2015"
"Michigan","Ingham","26065003301","Low-Income Community","2011-2015"
"Michigan","Ingham","26065003602","Low-Income Community","2011-2015"
"Michigan","Ingham","26065003700","Low-Income Community","2011-2015"
"Michigan","Ingham","26065004301","Low-Income Community","2011-2015"
"Michigan","Ingham","26065005100","Low-Income Community","2011-2015"
"Michigan","Ingham","26065005303","Low-Income Community","2011-2015"
"Michigan","Ingham","26065005402","Low-Income Community","2011-2015"
"Michigan","Ingham","26065006600","Low-Income Community","2011-2015"
"Michigan","Ingham","26065006700","Low-Income Community","2011-2015"
"Michigan","Ionia","26067031700","Low-Income Community","2011-2015"
"Michigan","Iosco","26069000400","Low-Income Community","2011-2015"
"Michigan","Iosco","26069000500","Low-Income Community","2011-2015"
"Michigan","Iron","26071000300","Low-Income Community","2011-2015"
"Michigan","Isabella","26073940400","Low-Income Community","2011-2015"
"Michigan","Isabella","26073940500","Low-Income Community","2011-2015"
"Michigan","Jackson","26075000600","Low-Income Community","2011-2015"
"Michigan","Jackson","26075001000","Low-Income Community","2011-2015"
"Michigan","Jackson","26075001200","Low-Income Community","2011-2015"
"Michigan","Jackson","26075005500","Low-Income Community","2011-2015"
"Michigan","Kalamazoo","26077000201","Low-Income Community","2011-2015"
"Michigan","Kalamazoo","26077000202","Low-Income Community","2011-2015"
"Michigan","Kalamazoo","26077000900","Low-Income Community","2011-2015"
"Michigan","Kalamazoo","26077001000","Low-Income Community","2011-2015"
"Michigan","Kalamazoo","26077001905","Low-Income Community","2011-2015"
"Michigan","Kalkaska","26079950400","Low-Income Community","2011-2015"
"Michigan","Kent","26081002600","Low-Income Community","2011-2015"
"Michigan","Kent","26081002800","Low-Income Community","2011-2015"
"Michigan","Kent","26081003000","Low-Income Community","2011-2015"
"Michigan","Kent","26081003200","Low-Income Community","2011-2015"
"Michigan","Kent","26081003500","Low-Income Community","2011-2015"
"Michigan","Kent","26081003600","Low-Income Community","2011-2015"
"Michigan","Kent","26081003700","Low-Income Community","2011-2015"
"Michigan","Kent","26081003800","Low-Income Community","2011-2015"
"Michigan","Kent","26081013500","Low-Income Community","2011-2015"
"Michigan","Kent","26081014200","Low-Income Community","2011-2015"
"Michigan","Keweenaw","26083000100","Low-Income Community","2011-2015"
"Michigan","Lake","26085961100","Low-Income Community","2011-2015"
"Michigan","Lapeer","26087337500","Low-Income Community","2011-2015"
"Michigan","Lenawee","26091061600","Low-Income Community","2011-2015"
"Michigan","Livingston","26093722300","Low-Income Community","2011-2015"
"Michigan","Luce","26095960100","Low-Income Community","2011-2015"
"Michigan","Mackinac","26097950500","Low-Income Community","2011-2015"
"Michigan","Macomb","26099230300","Low-Income Community","2011-2015"
"Michigan","Macomb","26099230500","Low-Income Community","2011-2015"
"Michigan","Macomb","26099240000","Low-Income Community","2011-2015"
"Michigan","Macomb","26099241600","Low-Income Community","2011-2015"
"Michigan","Macomb","26099241700","Low-Income Community","2011-2015"
"Michigan","Macomb","26099245000","Low-Income Community","2011-2015"
"Michigan","Macomb","26099256200","Low-Income Community","2011-2015"
"Michigan","Macomb","26099256300","Low-Income Community","2011-2015"
"Michigan","Macomb","26099256600","Low-Income Community","2011-2015"
"Michigan","Macomb","26099256700","Low-Income Community","2011-2015"
"Michigan","Macomb","26099258300","Low-Income Community","2011-2015"
"Michigan","Macomb","26099258900","Low-Income Community","2011-2015"
"Michigan","Macomb","26099262800","Low-Income Community","2011-2015"
"Michigan","Macomb","26099262900","Low-Income Community","2011-2015"
"Michigan","Macomb","26099264000","Low-Income Community","2011-2015"
"Michigan","Macomb","26099268400","Low-Income Community","2011-2015"
"Michigan","Macomb","26099982200","Low-Income Community","2011-2015"
"Michigan","Manistee","26101000900","Low-Income Community","2011-2015"
"Michigan","Marquette","26103000600","Low-Income Community","2011-2015"
"Michigan","Marquette","26103000700","Low-Income Community","2011-2015"
"Michigan","Mason","26105950500","Low-Income Community","2011-2015"
"Michigan","Mecosta","26107960500","Low-Income Community","2011-2015"
"Michigan","Mecosta","26107960600","Low-Income Community","2011-2015"
"Michigan","Menominee","26109960200","Low-Income Community","2011-2015"
"Michigan","Midland","26111290100","Low-Income Community","2011-2015"
"Michigan","Midland","26111290200","Low-Income Community","2011-2015"
"Michigan","Missaukee","26113960200","Low-Income Community","2011-2015"
"Michigan","Monroe","26115831400","Low-Income Community","2011-2015"
"Michigan","Monroe","26115831800","Low-Income Community","2011-2015"
"Michigan","Montcalm","26117970800","Low-Income Community","2011-2015"
"Michigan","Montcalm","26117971200","Low-Income Community","2011-2015"
"Michigan","Montmorency","26119910200","Low-Income Community","2011-2015"
"Michigan","Muskegon","26121000800","Low-Income Community","2011-2015"
"Michigan","Muskegon","26121000900","Low-Income Community","2011-2015"
"Michigan","Muskegon","26121001300","Low-Income Community","2011-2015"
"Michigan","Muskegon","26121004200","Low-Income Community","2011-2015"
"Michigan","Muskegon","26121004300","Low-Income Community","2011-2015"
"Michigan","Newaygo","26123971200","Low-Income Community","2011-2015"
"Michigan","Oakland","26125133100","Low-Income Community","2011-2015"
"Michigan","Oakland","26125141500","Low-Income Community","2011-2015"
"Michigan","Oakland","26125141600","Low-Income Community","2011-2015"
"Michigan","Oakland","26125142200","Low-Income Community","2011-2015"
"Michigan","Oakland","26125142400","Low-Income Community","2011-2015"
"Michigan","Oakland","26125145900","Low-Income Community","2011-2015"
"Michigan","Oakland","26125160400","Low-Income Community","2011-2015"
"Michigan","Oakland","26125160900","Low-Income Community","2011-2015"
"Michigan","Oakland","26125162200","Low-Income Community","2011-2015"
"Michigan","Oakland","26125171500","Low-Income Community","2011-2015"
"Michigan","Oakland","26125173400","Low-Income Community","2011-2015"
"Michigan","Oakland","26125175000","Low-Income Community","2011-2015"
"Michigan","Oakland","26125181000","Low-Income Community","2011-2015"
"Michigan","Oakland","26125194500","Low-Income Community","2011-2015"
"Michigan","Oakland","26125197600","Low-Income Community","2011-2015"
"Michigan","Oceana","26127010400","Low-Income Community","2011-2015"
"Michigan","Ogemaw","26129950100","Low-Income Community","2011-2015"
"Michigan","Ogemaw","26129950500","Low-Income Community","2011-2015"
"Michigan","Ontonagon","26131970200","Low-Income Community","2011-2015"
"Michigan","Osceola","26133970400","Low-Income Community","2011-2015"
"Michigan","Oscoda","26135970300","Low-Income Community","2011-2015"
"Michigan","Otsego","26137950300","Low-Income Community","2011-2015"
"Michigan","Ottawa","26139024900","Low-Income Community","2011-2015"
"Michigan","Presque Isle","26141950200","Low-Income Community","2011-2015"
"Michigan","Roscommon","26143970300","Low-Income Community","2011-2015"
"Michigan","Roscommon","26143971200","Low-Income Community","2011-2015"
"Michigan","Saginaw","26145000100","Low-Income Community","2011-2015"
"Michigan","Saginaw","26145000400","Low-Income Community","2011-2015"
"Michigan","Saginaw","26145000600","Low-Income Community","2011-2015"
"Michigan","Saginaw","26145001700","Low-Income Community","2011-2015"
"Michigan","Saginaw","26145001800","Low-Income Community","2011-2015"
"Michigan","Saginaw","26145010200","Low-Income Community","2011-2015"
"Michigan","Saginaw","26145011000","Low-Income Community","2011-2015"
"Michigan","St. Clair","26147620000","Low-Income Community","2011-2015"
"Michigan","St. Clair","26147624000","Low-Income Community","2011-2015"
"Michigan","St. Clair","26147625000","Low-Income Community","2011-2015"
"Michigan","St. Joseph","26149040300","Low-Income Community","2011-2015"
"Michigan","St. Joseph","26149040700","Low-Income Community","2011-2015"
"Michigan","Sanilac","26151970400","Low-Income Community","2011-2015"
"Michigan","Schoolcraft","26153000300","Low-Income Community","2011-2015"
"Michigan","Shiawassee","26155030600","Low-Income Community","2011-2015"
"Michigan","Tuscola","26157000600","Low-Income Community","2011-2015"
"Michigan","Van Buren","26159011300","Low-Income Community","2011-2015"
"Michigan","Van Buren","26159011800","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161405600","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161410300","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161410500","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161410600","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161410800","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161411700","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161411900","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161412000","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161414000","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161446200","Low-Income Community","2011-2015"
"Michigan","Washtenaw","26161984000","Low-Income Community","2011-2015"
"Michigan","Wayne","26163501400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163501800","Low-Income Community","2011-2015"
"Michigan","Wayne","26163504700","Low-Income Community","2011-2015"
"Michigan","Wayne","26163504800","Low-Income Community","2011-2015"
"Michigan","Wayne","26163505500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163508000","Low-Income Community","2011-2015"
"Michigan","Wayne","26163510500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163511000","Low-Income Community","2011-2015"
"Michigan","Wayne","26163511200","Low-Income Community","2011-2015"
"Michigan","Wayne","26163511900","Low-Income Community","2011-2015"
"Michigan","Wayne","26163512900","Low-Income Community","2011-2015"
"Michigan","Wayne","26163513200","Low-Income Community","2011-2015"
"Michigan","Wayne","26163513700","Low-Income Community","2011-2015"
"Michigan","Wayne","26163515200","Low-Income Community","2011-2015"
"Michigan","Wayne","26163515300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163515400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163515600","Low-Income Community","2011-2015"
"Michigan","Wayne","26163515700","Non-LIC Contiguous","2011-2015"
"Michigan","Wayne","26163516100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163516200","Low-Income Community","2011-2015"
"Michigan","Wayne","26163516400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163516500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163516600","Low-Income Community","2011-2015"
"Michigan","Wayne","26163516900","Low-Income Community","2011-2015"
"Michigan","Wayne","26163517000","Non-LIC Contiguous","2011-2015"
"Michigan","Wayne","26163517100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163517200","Low-Income Community","2011-2015"
"Michigan","Wayne","26163517300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163517500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163518000","Low-Income Community","2011-2015"
"Michigan","Wayne","26163518400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163518800","Low-Income Community","2011-2015"
"Michigan","Wayne","26163518900","Low-Income Community","2011-2015"
"Michigan","Wayne","26163520200","Low-Income Community","2011-2015"
"Michigan","Wayne","26163520300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163520400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163520700","Low-Income Community","2011-2015"
"Michigan","Wayne","26163520800","Low-Income Community","2011-2015"
"Michigan","Wayne","26163521100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163521400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163521500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163522400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163522500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163523100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163523300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163523400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163524000","Low-Income Community","2011-2015"
"Michigan","Wayne","26163524900","Low-Income Community","2011-2015"
"Michigan","Wayne","26163525000","Low-Income Community","2011-2015"
"Michigan","Wayne","26163527300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163530300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163532400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163532600","Low-Income Community","2011-2015"
"Michigan","Wayne","26163532700","Low-Income Community","2011-2015"
"Michigan","Wayne","26163533900","Low-Income Community","2011-2015"
"Michigan","Wayne","26163535300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163536100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163538500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163538600","Low-Income Community","2011-2015"
"Michigan","Wayne","26163538900","Non-LIC Contiguous","2011-2015"
"Michigan","Wayne","26163541200","Low-Income Community","2011-2015"
"Michigan","Wayne","26163541400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163542700","Low-Income Community","2011-2015"
"Michigan","Wayne","26163542900","Non-LIC Contiguous","2011-2015"
"Michigan","Wayne","26163543000","Low-Income Community","2011-2015"
"Michigan","Wayne","26163543400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163546900","Low-Income Community","2011-2015"
"Michigan","Wayne","26163552300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163553600","Low-Income Community","2011-2015"
"Michigan","Wayne","26163554100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163555100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163555300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163565300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163566500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163568800","Low-Income Community","2011-2015"
"Michigan","Wayne","26163570400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163571600","Low-Income Community","2011-2015"
"Michigan","Wayne","26163572100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163572600","Low-Income Community","2011-2015"
"Michigan","Wayne","26163573400","Low-Income Community","2011-2015"
"Michigan","Wayne","26163573500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163574100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163577000","Low-Income Community","2011-2015"
"Michigan","Wayne","26163577500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163579100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163583000","Low-Income Community","2011-2015"
"Michigan","Wayne","26163583200","Low-Income Community","2011-2015"
"Michigan","Wayne","26163584500","Low-Income Community","2011-2015"
"Michigan","Wayne","26163585900","Low-Income Community","2011-2015"
"Michigan","Wayne","26163586200","Low-Income Community","2011-2015"
"Michigan","Wayne","26163588100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163985100","Low-Income Community","2011-2015"
"Michigan","Wayne","26163985300","Low-Income Community","2011-2015"
"Michigan","Wayne","26163985900","Low-Income Community","2011-2015"
"Michigan","Wexford","26165380700","Low-Income Community","2011-2015"
"Minnesota","Aitkin","27001770300","Low-Income Community","2011-2015"
"Minnesota","Aitkin","27001770400","Low-Income Community","2011-2015"
"Minnesota","Anoka","27003050402","Low-Income Community","2011-2015"
"Minnesota","Anoka","27003050606","Low-Income Community","2011-2015"
"Minnesota","Anoka","27003051501","Low-Income Community","2011-2015"
"Minnesota","Becker","27005450500","Low-Income Community","2011-2015"
"Minnesota","Beltrami","27007450702","Low-Income Community","2011-2015"
"Minnesota","Beltrami","27007940001","Low-Income Community","2011-2015"
"Minnesota","Benton","27009021200","Low-Income Community","2011-2015"
"Minnesota","Big Stone","27011950300","Low-Income Community","2011-2015"
"Minnesota","Blue Earth","27013170300","Low-Income Community","2011-2015"
"Minnesota","Blue Earth","27013170700","Low-Income Community","2011-2015"
"Minnesota","Carlton","27017940000","Low-Income Community","2011-2015"
"Minnesota","Cass","27021940002","Low-Income Community","2011-2015"
"Minnesota","Chippewa","27023950600","Low-Income Community","2011-2015"
"Minnesota","Chisago","27025110301","Low-Income Community","2011-2015"
"Minnesota","Clay","27027020300","Low-Income Community","2011-2015"
"Minnesota","Clearwater","27029000100","Low-Income Community","2011-2015"
"Minnesota","Cook","27031480100","Low-Income Community","2011-2015"
"Minnesota","Cottonwood","27033270400","Low-Income Community","2011-2015"
"Minnesota","Crow Wing","27035951100","Low-Income Community","2011-2015"
"Minnesota","Crow Wing","27035951200","Low-Income Community","2011-2015"
"Minnesota","Dakota","27037060104","Low-Income Community","2011-2015"
"Minnesota","Dakota","27037060105","Low-Income Community","2011-2015"
"Minnesota","Dakota","27037060301","Low-Income Community","2011-2015"
"Minnesota","Douglas","27041450600","Low-Income Community","2011-2015"
"Minnesota","Faribault","27043460400","Low-Income Community","2011-2015"
"Minnesota","Fillmore","27045960500","Low-Income Community","2011-2015"
"Minnesota","Freeborn","27047180600","Low-Income Community","2011-2015"
"Minnesota","Goodhue","27049080200","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053005902","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053007700","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053009500","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053020200","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053020804","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053021300","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053023400","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053025100","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053026810","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053100400","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053100500","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053100900","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053102100","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053102800","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053102900","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053103400","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053104000","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053104100","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053104800","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053106000","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053106200","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053107400","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053125800","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053125900","Low-Income Community","2011-2015"
"Minnesota","Hennepin","27053126000","Low-Income Community","2011-2015"
"Minnesota","Hubbard","27057070600","Low-Income Community","2011-2015"
"Minnesota","Isanti","27059130301","Low-Income Community","2011-2015"
"Minnesota","Itasca","27061480300","Low-Income Community","2011-2015"
"Minnesota","Itasca","27061480500","Low-Income Community","2011-2015"
"Minnesota","Jackson","27063480400","Low-Income Community","2011-2015"
"Minnesota","Kanabec","27065480300","Low-Income Community","2011-2015"
"Minnesota","Kandiyohi","27067780800","Low-Income Community","2011-2015"
"Minnesota","Koochiching","27071790100","Low-Income Community","2011-2015"
"Minnesota","Lake","27075370300","Low-Income Community","2011-2015"
"Minnesota","Lake of the Woods","27077460300","Low-Income Community","2011-2015"
"Minnesota","Lyon","27083360500","Low-Income Community","2011-2015"
"Minnesota","Mahnomen","27087940100","Low-Income Community","2011-2015"
"Minnesota","Martin","27091790600","Low-Income Community","2011-2015"
"Minnesota","Meeker","27093560300","Low-Income Community","2011-2015"
"Minnesota","Mille Lacs","27095170500","Low-Income Community","2011-2015"
"Minnesota","Mille Lacs","27095970100","Low-Income Community","2011-2015"
"Minnesota","Mille Lacs","27095970200","Low-Income Community","2011-2015"
"Minnesota","Morrison","27097780600","Low-Income Community","2011-2015"
"Minnesota","Mower","27099000410","Low-Income Community","2011-2015"
"Minnesota","Nobles","27105105400","Low-Income Community","2011-2015"
"Minnesota","Olmsted","27109000100","Low-Income Community","2011-2015"
"Minnesota","Olmsted","27109000600","Low-Income Community","2011-2015"
"Minnesota","Otter Tail","27111960300","Low-Income Community","2011-2015"
"Minnesota","Pennington","27113090200","Low-Income Community","2011-2015"
"Minnesota","Pennington","27113090400","Low-Income Community","2011-2015"
"Minnesota","Pine","27115950400","Low-Income Community","2011-2015"
"Minnesota","Pine","27115950500","Low-Income Community","2011-2015"
"Minnesota","Pine","27115950700","Low-Income Community","2011-2015"
"Minnesota","Pipestone","27117460200","Low-Income Community","2011-2015"
"Minnesota","Polk","27119021000","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123030400","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123030500","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123031500","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123031600","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123031701","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123031702","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123031900","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123032100","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123032500","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123032700","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123033100","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123033400","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123033500","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123033700","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123034201","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123034701","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123036000","Non-LIC Contiguous","2011-2015"
"Minnesota","Ramsey","27123037100","Low-Income Community","2011-2015"
"Minnesota","Ramsey","27123041602","Low-Income Community","2011-2015"
"Minnesota","Redwood","27127750300","Low-Income Community","2011-2015"
"Minnesota","Renville","27129790500","Low-Income Community","2011-2015"
"Minnesota","Rice","27131070700","Low-Income Community","2011-2015"
"Minnesota","Rock","27133570300","Low-Income Community","2011-2015"
"Minnesota","St. Louis","27137001700","Low-Income Community","2011-2015"
"Minnesota","St. Louis","27137001900","Low-Income Community","2011-2015"
"Minnesota","St. Louis","27137002000","Low-Income Community","2011-2015"
"Minnesota","St. Louis","27137012400","Low-Income Community","2011-2015"
"Minnesota","St. Louis","27137013100","Low-Income Community","2011-2015"
"Minnesota","St. Louis","27137015300","Low-Income Community","2011-2015"
"Minnesota","St. Louis","27137015500","Low-Income Community","2011-2015"
"Minnesota","St. Louis","27137015600","Low-Income Community","2011-2015"
"Minnesota","St. Louis","27137015800","Low-Income Community","2011-2015"
"Minnesota","Sherburne","27141031500","Low-Income Community","2011-2015"
"Minnesota","Stearns","27145011600","Low-Income Community","2011-2015"
"Minnesota","Steele","27147960400","Low-Income Community","2011-2015"
"Minnesota","Stevens","27149480200","Low-Income Community","2011-2015"
"Minnesota","Swift","27151960400","Low-Income Community","2011-2015"
